Number,Inserted,Space,Time
1,5.24288e+07,179420495872,0.135175
2,1.04858e+08,179368009728,0.129995
3,1.57286e+08,179315527680,0.121251
4,2.09715e+08,179263045632,0.119631
5,2.62144e+08,179210563584,0.119465
6,3.14573e+08,179158081536,0.119948
7,3.67002e+08,179105599488,0.120283
8,4.1943e+08,179053113344,0.117019
9,4.71859e+08,179000631296,0.121786
10,5.24288e+08,178948149248,0.119029
11,5.76717e+08,178895667200,0.117514
12,6.29146e+08,178843185152,0.121078
13,6.81574e+08,178790703104,0.115021
14,7.34003e+08,178738221056,0.119106
15,7.86432e+08,178685739008,0.122521
16,8.38861e+08,178633256960,0.118045
17,8.9129e+08,178580774912,0.115759
18,9.43718e+08,178528292864,0.119506
19,9.96147e+08,178475810816,0.119604
20,1.04858e+09,178423328768,0.119953
21,1.101e+09,178370846720,0.122188
22,1.15343e+09,178318364672,0.117073
23,1.20586e+09,178265882624,0.117084
24,1.25829e+09,178213400576,0.122393
25,1.31072e+09,178160918528,0.119687
26,1.36315e+09,178108436480,0.117317
27,1.41558e+09,178055954432,0.119244
28,1.46801e+09,178003472384,0.117227
29,1.52044e+09,177950990336,0.117646
30,1.57286e+09,177898508288,0.121257
31,1.62529e+09,177846026240,0.118894
32,1.67772e+09,177793544192,0.119057
33,1.73015e+09,177741062144,0.119816
34,1.78258e+09,177688580096,0.117775
35,1.83501e+09,177636098048,0.119545
36,1.88744e+09,177583616000,0.11929
37,1.93987e+09,177531133952,0.118687
38,1.99229e+09,177478651904,0.12196
39,2.04472e+09,177426169856,0.120069
40,2.09715e+09,177373687808,0.115727
41,2.14958e+09,177321205760,0.127513
42,2.20201e+09,177268723712,0.120541
43,2.25444e+09,177216241664,0.116151
44,2.30687e+09,177163759616,0.117635
45,2.3593e+09,177111277568,0.117229
46,2.41172e+09,177058795520,0.119021
47,2.46415e+09,177006313472,0.117692
48,2.51658e+09,176953831424,0.121721
49,2.56901e+09,176901349376,0.11534
50,2.62144e+09,176848867328,0.121374
51,2.67387e+09,176796385280,0.118747
52,2.7263e+09,176743903232,0.117831
53,2.77873e+09,176691421184,0.120005
54,2.83116e+09,176638939136,0.12066
55,2.88358e+09,176586457088,0.118329
56,2.93601e+09,176533975040,0.115433
57,2.98844e+09,176481492992,0.120521
58,3.04087e+09,176429010944,0.118579
59,3.0933e+09,176376528896,0.116039
60,3.14573e+09,176324046848,0.120985
61,3.19816e+09,176271564800,0.116433
62,3.25059e+09,176219082752,0.115659
63,3.30301e+09,176166600704,0.118092
64,3.35544e+09,176114118656,0.114731
65,3.40787e+09,176061636608,0.117048
66,3.4603e+09,176009154560,0.120623
67,3.51273e+09,175956672512,0.117465
68,3.56516e+09,175904190464,0.120201
69,3.61759e+09,175851708416,0.118865
70,3.67002e+09,175799226368,0.115989
71,3.72244e+09,175746744320,0.118454
72,3.77487e+09,175694262272,0.115965
73,3.8273e+09,175641780224,0.117294
74,3.87973e+09,175589298176,0.115783
75,3.93216e+09,175536816128,0.117547
76,3.98459e+09,175484334080,0.113198
77,4.03702e+09,175431852032,0.120111
78,4.08945e+09,175379369984,0.119309
79,4.14188e+09,175326887936,0.116642
80,4.1943e+09,175274405888,0.118343
81,4.24673e+09,175221923840,0.117136
82,4.29916e+09,175169441792,0.117141
83,4.35159e+09,175116959744,0.116372
84,4.40402e+09,175064477696,0.117153
85,4.45645e+09,175011995648,0.119633
86,4.50888e+09,174959513600,0.113254
87,4.56131e+09,174907031552,0.12538
88,4.61373e+09,174854549504,0.116791
89,4.66616e+09,174802067456,0.117855
90,4.71859e+09,174749585408,0.116184
91,4.77102e+09,174697103360,0.115943
92,4.82345e+09,174644621312,0.117854
93,4.87588e+09,174592139264,0.118078
94,4.92831e+09,174539657216,0.117296
95,4.98074e+09,174487175168,0.11813
96,5.03316e+09,174434693120,0.116235
97,5.08559e+09,174382211072,0.118931
98,5.13802e+09,174329729024,0.120358
99,5.19045e+09,174277246976,0.117836
100,5.24288e+09,174224764928,0.11644
101,5.29531e+09,174172282880,0.11866
102,5.34774e+09,174119800832,0.12022
103,5.40017e+09,174067318784,0.119577
104,5.4526e+09,174014836736,0.117591
105,5.50502e+09,173962354688,0.119241
106,5.55745e+09,173909872640,0.113925
107,5.60988e+09,173857390592,0.117024
108,5.66231e+09,173804908544,0.115561
109,5.71474e+09,173752426496,0.118102
110,5.76717e+09,173699944448,0.117356
111,5.8196e+09,173647462400,0.115304
112,5.87203e+09,173594976256,0.117432
113,5.92445e+09,173542494208,0.120974
114,5.97688e+09,173490012160,0.117225
115,6.02931e+09,173437530112,0.115955
116,6.08174e+09,173385048064,0.119923
117,6.13417e+09,173332566016,0.118617
118,6.1866e+09,173280083968,0.118522
119,6.23903e+09,173227601920,0.118201
120,6.29146e+09,173175119872,0.116089
121,6.34388e+09,173122637824,0.119154
122,6.39631e+09,173070155776,0.117638
123,6.44874e+09,173017673728,0.116674
124,6.50117e+09,172965191680,0.117323
125,6.5536e+09,172912709632,0.120486
126,6.60603e+09,172860227584,0.116335
127,6.65846e+09,172807745536,0.115064
128,6.71089e+09,172755263488,0.119926
129,6.76332e+09,172702777344,0.117453
130,6.81574e+09,172650295296,0.116074
131,6.86817e+09,172597813248,0.117416
132,6.9206e+09,172545331200,0.119944
133,6.97303e+09,172492849152,0.126897
134,7.02546e+09,172440367104,0.121716
135,7.07789e+09,172387885056,0.116022
136,7.13032e+09,172335403008,0.120173
137,7.18275e+09,172282920960,0.116973
138,7.23517e+09,172230438912,0.115887
139,7.2876e+09,172177956864,0.114969
140,7.34003e+09,172125474816,0.119693
141,7.39246e+09,172072992768,0.116136
142,7.44489e+09,172020510720,0.11394
143,7.49732e+09,171968028672,0.118741
144,7.54975e+09,171915546624,0.116183
145,7.60218e+09,171863064576,0.115595
146,7.6546e+09,171810582528,0.11519
147,7.70703e+09,171758100480,0.117176
148,7.75946e+09,171705618432,0.117997
149,7.81189e+09,171653136384,0.121306
150,7.86432e+09,171600654336,0.117954
151,7.91675e+09,171548172288,0.114444
152,7.96918e+09,171495690240,0.114889
153,8.02161e+09,171443208192,0.114544
154,8.07404e+09,171390726144,0.115026
155,8.12646e+09,171338244096,0.117724
156,8.17889e+09,171285762048,0.118853
157,8.23132e+09,171233280000,0.115395
158,8.28375e+09,171180797952,0.115505
159,8.33618e+09,171128315904,0.114665
160,8.38861e+09,171075833856,0.112591
161,8.44104e+09,171023351808,0.116245
162,8.49347e+09,170970869760,0.116998
163,8.54589e+09,170918387712,0.117057
164,8.59832e+09,170865905664,0.118626
165,8.65075e+09,170813423616,0.115958
166,8.70318e+09,170760941568,0.118085
167,8.75561e+09,170708459520,0.121094
168,8.80804e+09,170655977472,0.117829
169,8.86047e+09,170603495424,0.115597
170,8.9129e+09,170551013376,0.114811
171,8.96532e+09,170498531328,0.117021
172,9.01775e+09,170446049280,0.115388
173,9.07018e+09,170393567232,0.115376
174,9.12261e+09,170341085184,0.118047
175,9.17504e+09,170288603136,0.113297
176,9.22747e+09,170236121088,0.116609
177,9.2799e+09,170183639040,0.121455
178,9.33233e+09,170131156992,0.115904
179,9.38476e+09,170078674944,0.13713
180,9.43718e+09,170026192896,0.116068
181,9.48961e+09,169973710848,0.116547
182,9.54204e+09,169921228800,0.115934
183,9.59447e+09,169868746752,0.117972
184,9.6469e+09,169816264704,0.115339
185,9.69933e+09,169763782656,0.117272
186,9.75176e+09,169711300608,0.115949
187,9.80419e+09,169658818560,0.118047
188,9.85661e+09,169606336512,0.117779
189,9.90904e+09,169553854464,0.117743
190,9.96147e+09,169501372416,0.116839
191,1.00139e+10,169448890368,0.119869
192,1.00663e+10,169396408320,0.120768
193,1.01188e+10,169343926272,0.120046
194,1.01712e+10,169291444224,0.121001
195,1.02236e+10,169238962176,0.117468
196,1.0276e+10,169186480128,0.117129
197,1.03285e+10,169133998080,0.117212
198,1.03809e+10,169081516032,0.119323
199,1.04333e+10,169029033984,0.119648
200,1.04858e+10,168976551936,0.116355
201,1.04333e+10,168976551936,0.135801
200,1.03809e+10,168976551936,0.128724
199,1.03285e+10,168976551936,0.128901
198,1.0276e+10,168976551936,0.128232
197,1.02236e+10,168976551936,0.128138
196,1.01712e+10,168976551936,0.179758
195,1.01188e+10,168976551936,0.142576
194,1.00663e+10,168976551936,0.188094
193,1.00139e+10,168976551936,0.171677
192,9.96147e+09,168976551936,0.15144
191,9.90904e+09,168976551936,0.194235
190,9.85661e+09,168976551936,0.129184
189,9.80419e+09,168976551936,0.201275
188,9.75176e+09,168976551936,0.145477
187,9.69933e+09,168976551936,0.170625
186,9.6469e+09,168976551936,0.171348
185,9.59447e+09,168976551936,0.147201
184,9.54204e+09,168976551936,0.181906
183,9.48961e+09,168976551936,0.127689
182,9.43718e+09,168976547840,0.198688
181,9.38476e+09,168976547840,0.127824
180,9.33233e+09,168976547840,0.193128
179,9.2799e+09,168976547840,0.193592
178,9.22747e+09,168976547840,0.156606
177,9.17504e+09,168976547840,0.16698
176,9.12261e+09,168976547840,0.14401
175,9.07018e+09,168976547840,0.183552
174,9.01775e+09,168976547840,0.135944
173,8.96532e+09,168976547840,0.182735
172,8.9129e+09,168976547840,0.126903
171,8.86047e+09,168976547840,0.17551
170,8.80804e+09,168976547840,0.136201
169,8.75561e+09,168976547840,0.152027
168,8.70318e+09,168976547840,0.165908
167,8.65075e+09,168976547840,0.128279
166,8.59832e+09,168976547840,0.177618
165,8.54589e+09,168976547840,0.148946
164,8.49347e+09,168976547840,0.149522
163,8.44104e+09,168976547840,0.172146
162,8.38861e+09,168976547840,0.174671
161,8.33618e+09,168976547840,0.128517
160,8.28375e+09,168976547840,0.148302
159,8.23132e+09,168976547840,0.168549
158,8.17889e+09,168976547840,0.147264
157,8.12646e+09,168976547840,0.197651
156,8.07404e+09,168976547840,0.164969
155,8.02161e+09,168976547840,0.177025
154,7.96918e+09,168976547840,0.172624
153,7.91675e+09,168976547840,0.128473
152,7.86432e+09,168976547840,0.187151
151,7.81189e+09,168976547840,0.16645
150,7.75946e+09,168976547840,0.218986
149,7.70703e+09,168976547840,0.141973
148,7.6546e+09,168976547840,0.197777
147,7.60218e+09,168976547840,0.131904
146,7.54975e+09,168976547840,0.16029
145,7.49732e+09,168976547840,0.184523
144,7.44489e+09,168976547840,0.169552
143,7.39246e+09,168976547840,0.174526
142,7.34003e+09,168976547840,0.127628
141,7.2876e+09,168976547840,0.146515
140,7.23517e+09,168976547840,0.127589
139,7.18275e+09,168976547840,0.164639
138,7.13032e+09,168976547840,0.203709
137,7.07789e+09,168976547840,0.181168
136,7.02546e+09,168976547840,0.161634
135,6.97303e+09,168976547840,0.179295
134,6.9206e+09,168976547840,0.175513
133,6.86817e+09,168976547840,0.127507
132,6.81574e+09,168976547840,0.18222
131,6.76332e+09,168976547840,0.151213
