Number,Inserted,Space,Time
1,5.24288e+07,179437498368,0.114467
2,1.04858e+08,179385012224,0.118619
3,1.57286e+08,179332530176,0.114862
4,2.09715e+08,179280048128,0.11633
5,2.62144e+08,179227566080,0.118708
6,3.14573e+08,179175084032,0.11626
7,3.67002e+08,179122597888,0.111886
8,4.1943e+08,179070115840,0.111265
9,4.71859e+08,179017633792,0.115311
10,5.24288e+08,178965151744,0.11767
11,5.76717e+08,178912669696,0.119897
12,6.29146e+08,178860187648,0.140574
13,6.81574e+08,178807705600,0.117964
14,7.34003e+08,178755223552,0.116063
15,7.86432e+08,178702741504,0.117386
16,8.38861e+08,178650259456,0.115218
17,8.9129e+08,178597777408,0.115365
18,9.43718e+08,178545295360,0.118114
19,9.96147e+08,178492813312,0.117181
20,1.04858e+09,178440331264,0.114581
21,1.101e+09,178387849216,0.116934
22,1.15343e+09,178335367168,0.115753
23,1.20586e+09,178282885120,0.113823
24,1.25829e+09,178230403072,0.11339
25,1.31072e+09,178177921024,0.112293
26,1.36315e+09,178125438976,0.115781
27,1.41558e+09,178072956928,0.116288
28,1.46801e+09,178020474880,0.117271
29,1.52044e+09,177967992832,0.114608
30,1.57286e+09,177915510784,0.114824
31,1.62529e+09,177863028736,0.116662
32,1.67772e+09,177810546688,0.120442
33,1.73015e+09,177758064640,0.116115
34,1.78258e+09,177705582592,0.114439
35,1.83501e+09,177653100544,0.117762
36,1.88744e+09,177600618496,0.117015
37,1.93987e+09,177548136448,0.114817
38,1.99229e+09,177495654400,0.115698
39,2.04472e+09,177443172352,0.115946
40,2.09715e+09,177390690304,0.116584
41,2.14958e+09,177338208256,0.11869
42,2.20201e+09,177285726208,0.115821
43,2.25444e+09,177233244160,0.117626
44,2.30687e+09,177180762112,0.117921
45,2.3593e+09,177128280064,0.118877
46,2.41172e+09,177075798016,0.114911
47,2.46415e+09,177023315968,0.117159
48,2.51658e+09,176970833920,0.115513
49,2.56901e+09,176918351872,0.119368
50,2.62144e+09,176865869824,0.118628
51,2.67387e+09,176813387776,0.116081
52,2.7263e+09,176760905728,0.118099
53,2.77873e+09,176708423680,0.119817
54,2.83116e+09,176655941632,0.120824
55,2.88358e+09,176603459584,0.11797
56,2.93601e+09,176550977536,0.116042
57,2.98844e+09,176498495488,0.115448
58,3.04087e+09,176446013440,0.115667
59,3.0933e+09,176393531392,0.115836
60,3.14573e+09,176341049344,0.114441
61,3.19816e+09,176288567296,0.115343
62,3.25059e+09,176236085248,0.117082
63,3.30301e+09,176183603200,0.115388
64,3.35544e+09,176131121152,0.114746
65,3.40787e+09,176078639104,0.11686
66,3.4603e+09,176026157056,0.113906
67,3.51273e+09,175973675008,0.114863
68,3.56516e+09,175921192960,0.119595
69,3.61759e+09,175868710912,0.113202
70,3.67002e+09,175816228864,0.115191
71,3.72244e+09,175763746816,0.115494
72,3.77487e+09,175711264768,0.114329
73,3.8273e+09,175658782720,0.114333
74,3.87973e+09,175606300672,0.113514
75,3.93216e+09,175553818624,0.114931
76,3.98459e+09,175501336576,0.117113
77,4.03702e+09,175448854528,0.11488
78,4.08945e+09,175396372480,0.116866
79,4.14188e+09,175343890432,0.119592
80,4.1943e+09,175291408384,0.114867
81,4.24673e+09,175238926336,0.112051
82,4.29916e+09,175186444288,0.116376
83,4.35159e+09,175133962240,0.116102
84,4.40402e+09,175081480192,0.114048
85,4.45645e+09,175028998144,0.117042
86,4.50888e+09,174976516096,0.115994
87,4.56131e+09,174924034048,0.113778
88,4.61373e+09,174871552000,0.115904
89,4.66616e+09,174819069952,0.11448
90,4.71859e+09,174766587904,0.11242
91,4.77102e+09,174714105856,0.114703
92,4.82345e+09,174661623808,0.11816
93,4.87588e+09,174609141760,0.114185
94,4.92831e+09,174556659712,0.118339
95,4.98074e+09,174504177664,0.115271
96,5.03316e+09,174451695616,0.11333
97,5.08559e+09,174399213568,0.114674
98,5.13802e+09,174346731520,0.114245
99,5.19045e+09,174294249472,0.114074
100,5.24288e+09,174241767424,0.116535
101,5.29531e+09,174189285376,0.120045
102,5.34774e+09,174136803328,0.116823
103,5.40017e+09,174084321280,0.114904
104,5.4526e+09,174031839232,0.115123
105,5.50502e+09,173979357184,0.114839
106,5.55745e+09,173926875136,0.118157
107,5.60988e+09,173874393088,0.115505
108,5.66231e+09,173821911040,0.114522
109,5.71474e+09,173769428992,0.114378
110,5.76717e+09,173716946944,0.113388
111,5.8196e+09,173664464896,0.11299
112,5.87203e+09,173611978752,0.11729
113,5.92445e+09,173559496704,0.112685
114,5.97688e+09,173507014656,0.115193
115,6.02931e+09,173454532608,0.117037
116,6.08174e+09,173402050560,0.116705
117,6.13417e+09,173349568512,0.11526
118,6.1866e+09,173297086464,0.117182
119,6.23903e+09,173244604416,0.111608
120,6.29146e+09,173192122368,0.114512
121,6.34388e+09,173139640320,0.114854
122,6.39631e+09,173087158272,0.117403
123,6.44874e+09,173034676224,0.116073
124,6.50117e+09,172982194176,0.118771
125,6.5536e+09,172929712128,0.116712
126,6.60603e+09,172877230080,0.114421
127,6.65846e+09,172824748032,0.115015
128,6.71089e+09,172772265984,0.117048
129,6.76332e+09,172719783936,0.113849
130,6.81574e+09,172667301888,0.115535
131,6.86817e+09,172614819840,0.112568
132,6.9206e+09,172562337792,0.114849
133,6.97303e+09,172509855744,0.114619
134,7.02546e+09,172457373696,0.113579
135,7.07789e+09,172404891648,0.115692
136,7.13032e+09,172352409600,0.116013
137,7.18275e+09,172299927552,0.114435
138,7.23517e+09,172247445504,0.11267
139,7.2876e+09,172194963456,0.115505
140,7.34003e+09,172142481408,0.116209
141,7.39246e+09,172089999360,0.114383
142,7.44489e+09,172037517312,0.114645
143,7.49732e+09,171985035264,0.112196
144,7.54975e+09,171932553216,0.115014
145,7.60218e+09,171880071168,0.114149
146,7.6546e+09,171827589120,0.112863
147,7.70703e+09,171775107072,0.112863
148,7.75946e+09,171722625024,0.114614
149,7.81189e+09,171670142976,0.116597
150,7.86432e+09,171617660928,0.112329
151,7.91675e+09,171565178880,0.112136
152,7.96918e+09,171512696832,0.116171
153,8.02161e+09,171460214784,0.114182
154,8.07404e+09,171407732736,0.1144
155,8.12646e+09,171355250688,0.11881
156,8.17889e+09,171302768640,0.116041
157,8.23132e+09,171250286592,0.119445
158,8.28375e+09,171197804544,0.115282
159,8.33618e+09,171145322496,0.11616
160,8.38861e+09,171092840448,0.116253
161,8.44104e+09,171040358400,0.118455
162,8.49347e+09,170987876352,0.117176
163,8.54589e+09,170935394304,0.115797
164,8.59832e+09,170882912256,0.115452
165,8.65075e+09,170830430208,0.115509
166,8.70318e+09,170777948160,0.11233
167,8.75561e+09,170725466112,0.110427
168,8.80804e+09,170672984064,0.116424
169,8.86047e+09,170620502016,0.115432
170,8.9129e+09,170568019968,0.113613
171,8.96532e+09,170515537920,0.114956
172,9.01775e+09,170463055872,0.115157
173,9.07018e+09,170410573824,0.112544
174,9.12261e+09,170358091776,0.113947
175,9.17504e+09,170305609728,0.117223
176,9.22747e+09,170253127680,0.11533
177,9.2799e+09,170200645632,0.116878
178,9.33233e+09,170148163584,0.117353
179,9.38476e+09,170095681536,0.113404
180,9.43718e+09,170043199488,0.11395
181,9.48961e+09,169990717440,0.115767
182,9.54204e+09,169938235392,0.116276
183,9.59447e+09,169885753344,0.118287
184,9.6469e+09,169833271296,0.115184
185,9.69933e+09,169780789248,0.117098
186,9.75176e+09,169728307200,0.116024
187,9.80419e+09,169675825152,0.115732
188,9.85661e+09,169623343104,0.118739
189,9.90904e+09,169570861056,0.116025
190,9.96147e+09,169518379008,0.114382
191,1.00139e+10,169465896960,0.117793
192,1.00663e+10,169413414912,0.115446
193,1.01188e+10,169360932864,0.116737
194,1.01712e+10,169308450816,0.120041
195,1.02236e+10,169255968768,0.126683
196,1.0276e+10,169203486720,0.122956
197,1.03285e+10,169151004672,0.119954
198,1.03809e+10,169098522624,0.115273
199,1.04333e+10,169046040576,0.11639
200,1.04858e+10,168993558528,0.117162
201,1.04333e+10,169046040576,49.8525
200,1.03809e+10,169098522624,54.1916
199,1.03285e+10,169151004672,54.0217
198,1.0276e+10,169203486720,53.9241
197,1.02236e+10,169255968768,54.1508
196,1.01712e+10,169308450816,53.7027
195,1.01188e+10,169360932864,53.2383
194,1.00663e+10,169413414912,53.4963
193,1.00139e+10,169465896960,52.3483
192,9.96147e+09,169518379008,52.5517
191,9.90904e+09,169570861056,52.2351
190,9.85661e+09,169623343104,51.8467
189,9.80419e+09,169670799360,51.8875
188,9.75176e+09,169723281408,51.2848
187,9.69933e+09,169775763456,51.3456
186,9.6469e+09,169828245504,50.9962
185,9.59447e+09,169880727552,50.5681
184,9.54204e+09,169933205504,50.4468
183,9.48961e+09,169985687552,50.1531
182,9.43718e+09,170038169600,49.8787
181,9.38476e+09,170090647552,49.9919
180,9.33233e+09,170143129600,49.3166
179,9.2799e+09,170195611648,49.0283
178,9.22747e+09,170248089600,48.864
177,9.17504e+09,170300567552,48.2853
176,9.12261e+09,170353049600,47.8639
175,9.07018e+09,170405531648,48.2217
174,9.01775e+09,170458013696,46.7948
173,8.96532e+09,170510495744,47.2448
172,8.9129e+09,170562977792,47.0429
171,8.86047e+09,170615459840,46.9392
170,8.80804e+09,170667941888,46.7645
169,8.75561e+09,170720423936,46.2566
168,8.70318e+09,170772905984,45.8398
167,8.65075e+09,170825388032,46.4659
166,8.59832e+09,170877870080,45.7366
165,8.54589e+09,170930352128,45.4841
164,8.49347e+09,170982834176,44.7905
163,8.44104e+09,171035316224,43.9887
162,8.38861e+09,171087798272,43.8448
161,8.33618e+09,171140280320,42.8496
160,8.28375e+09,171192762368,41.8322
159,8.23132e+09,171245244416,39.5038
158,8.17889e+09,171297722368,40.289
157,8.12646e+09,171350204416,38.8426
156,8.07404e+09,171402686464,38.7118
155,8.02161e+09,171455168512,38.3537
154,7.96918e+09,171507646464,39.1345
153,7.91675e+09,171560128512,38.2039
152,7.86432e+09,171612610560,38.3355
151,7.81189e+09,171665092608,37.7882
150,7.75946e+09,171717574656,37.4725
149,7.70703e+09,171770056704,38.071
148,7.6546e+09,171822538752,37.5639
147,7.60218e+09,171875020800,37.6835
146,7.54975e+09,171927502848,37.4532
145,7.49732e+09,171979984896,36.4979
144,7.44489e+09,172032466944,36.6767
143,7.39246e+09,172084948992,35.6022
142,7.34003e+09,172137431040,35.2922
141,7.2876e+09,172189913088,35.8821
140,7.23517e+09,172242395136,36.5172
139,7.18275e+09,172294877184,35.633
138,7.13032e+09,172347359232,35.532
137,7.07789e+09,172399841280,35.4893
136,7.02546e+09,172452323328,34.2296
135,6.97303e+09,172504805376,34.3722
134,6.9206e+09,172557287424,33.3811
133,6.86817e+09,172609769472,33.3728
132,6.81574e+09,172662251520,32.9447
131,6.76332e+09,172714733568,33.1588
130,6.71089e+09,172767215616,32.8533
129,6.65846e+09,172819697664,32.0129
128,6.60603e+09,172872179712,31.6358
127,6.5536e+09,172924661760,30.6683
126,6.50117e+09,172977143808,29.2142
125,6.44874e+09,173029625856,28.712
124,6.39631e+09,173082107904,28.076
123,6.34388e+09,173134585856,28.3051
122,6.29146e+09,173187067904,28.4176
121,6.23903e+09,173239549952,28.0872
120,6.1866e+09,173292032000,28.2
119,6.13417e+09,173344514048,27.8911
118,6.08174e+09,173396996096,27.4771
117,6.02931e+09,173449478144,27.9228
116,5.97688e+09,173501956096,27.0199
115,5.92445e+09,173554438144,27.3394
114,5.87203e+09,173606920192,27.3256
113,5.8196e+09,173659402240,26.3877
112,5.76717e+09,173711884288,27.6387
111,5.71474e+09,173761552384,25.9387
110,5.66231e+09,173814034432,26.1876
109,5.60988e+09,173866516480,26.3227
108,5.55745e+09,173918998528,26.2507
107,5.50502e+09,173971480576,24.7443
106,5.4526e+09,174023962624,25.7427
105,5.40017e+09,174076444672,25.4614
104,5.34774e+09,174128926720,25.3687
103,5.29531e+09,174181408768,25.8413
102,5.24288e+09,174233890816,24.6659
101,5.19045e+09,174286372864,25.1174
100,5.13802e+09,174338854912,24.6905
99,5.08559e+09,174391336960,24.0702
98,5.03316e+09,174443819008,24.739
97,4.98074e+09,174496301056,23.8933
96,4.92831e+09,174548783104,24.5258
95,4.87588e+09,174601265152,23.5868
94,4.82345e+09,174653747200,23.5578
93,4.77102e+09,174706229248,23.2295
92,4.71859e+09,174758711296,23.0886
91,4.66616e+09,174811193344,23.6194
90,4.61373e+09,174863671296,23.1139
89,4.56131e+09,174916153344,22.8535
