Number,Inserted,Space,Time
1,5.24288e+07,179710963712,0.118493
2,1.04858e+08,179658477568,0.122562
3,1.57286e+08,179605995520,0.126254
4,2.09715e+08,179553513472,0.119233
5,2.62144e+08,179501031424,0.120302
6,3.14573e+08,179448549376,0.122295
7,3.67002e+08,179396067328,0.121351
8,4.1943e+08,179343581184,0.118891
9,4.71859e+08,179291099136,0.12014
10,5.24288e+08,179238617088,0.121446
11,5.76717e+08,179186135040,0.120638
12,6.29146e+08,179133652992,0.122233
13,6.81574e+08,179081170944,0.120442
14,7.34003e+08,179028688896,0.120855
15,7.86432e+08,178976206848,0.119906
16,8.38861e+08,178923724800,0.122016
17,8.9129e+08,178871242752,0.1196
18,9.43718e+08,178818760704,0.121392
19,9.96147e+08,178766278656,0.119894
20,1.04858e+09,178713796608,0.116021
21,1.101e+09,178661314560,0.123647
22,1.15343e+09,178608832512,0.129153
23,1.20586e+09,178556350464,0.120175
24,1.25829e+09,178503868416,0.118588
25,1.31072e+09,178451386368,0.120404
26,1.36315e+09,178398904320,0.116785
27,1.41558e+09,178346422272,0.122419
28,1.46801e+09,178293940224,0.119477
29,1.52044e+09,178241458176,0.118855
30,1.57286e+09,178188976128,0.12179
31,1.62529e+09,178136494080,0.11978
32,1.67772e+09,178084012032,0.119569
33,1.73015e+09,178031529984,0.119207
34,1.78258e+09,177979047936,0.120334
35,1.83501e+09,177926565888,0.11604
36,1.88744e+09,177874083840,0.121824
37,1.93987e+09,177821601792,0.117865
38,1.99229e+09,177769119744,0.119007
39,2.04472e+09,177716637696,0.118926
40,2.09715e+09,177664155648,0.118298
41,2.14958e+09,177611673600,0.119282
42,2.20201e+09,177559191552,0.118167
43,2.25444e+09,177506709504,0.118683
44,2.30687e+09,177454227456,0.117927
45,2.3593e+09,177401745408,0.118506
46,2.41172e+09,177349263360,0.119723
47,2.46415e+09,177296781312,0.119481
48,2.51658e+09,177244299264,0.122702
49,2.56901e+09,177191817216,0.117536
50,2.62144e+09,177139335168,0.115864
51,2.67387e+09,177086853120,0.11922
52,2.7263e+09,177034371072,0.119162
53,2.77873e+09,176981889024,0.11619
54,2.83116e+09,176929406976,0.116846
55,2.88358e+09,176876924928,0.121002
56,2.93601e+09,176824442880,0.117941
57,2.98844e+09,176771960832,0.11774
58,3.04087e+09,176719478784,0.120269
59,3.0933e+09,176666996736,0.118311
60,3.14573e+09,176614514688,0.116505
61,3.19816e+09,176562032640,0.120198
62,3.25059e+09,176509550592,0.124306
63,3.30301e+09,176457068544,0.118528
64,3.35544e+09,176404586496,0.120172
65,3.40787e+09,176352104448,0.120543
66,3.4603e+09,176299622400,0.115829
67,3.51273e+09,176247140352,0.117181
68,3.56516e+09,176194658304,0.117323
69,3.61759e+09,176142176256,0.121445
70,3.67002e+09,176089694208,0.120813
71,3.72244e+09,176037212160,0.116437
72,3.77487e+09,175984730112,0.11983
73,3.8273e+09,175932248064,0.121959
74,3.87973e+09,175879766016,0.118528
75,3.93216e+09,175827283968,0.11534
76,3.98459e+09,175774801920,0.122999
77,4.03702e+09,175722319872,0.118284
78,4.08945e+09,175669837824,0.117077
79,4.14188e+09,175617355776,0.117514
80,4.1943e+09,175564873728,0.117159
81,4.24673e+09,175512391680,0.117703
82,4.29916e+09,175459909632,0.11584
83,4.35159e+09,175407427584,0.118095
84,4.40402e+09,175354945536,0.118776
85,4.45645e+09,175302463488,0.116322
86,4.50888e+09,175249981440,0.11815
87,4.56131e+09,175197499392,0.116465
88,4.61373e+09,175145017344,0.117606
89,4.66616e+09,175092535296,0.117221
90,4.71859e+09,175040053248,0.122661
91,4.77102e+09,174987571200,0.118907
92,4.82345e+09,174935089152,0.116364
93,4.87588e+09,174882607104,0.11692
94,4.92831e+09,174830125056,0.11575
95,4.98074e+09,174777643008,0.116942
96,5.03316e+09,174725160960,0.118498
97,5.08559e+09,174672678912,0.122229
98,5.13802e+09,174620196864,0.135729
99,5.19045e+09,174567714816,0.119977
100,5.24288e+09,174515232768,0.118452
101,5.29531e+09,174462750720,0.116889
102,5.34774e+09,174410268672,0.116679
103,5.40017e+09,174357786624,0.11739
104,5.4526e+09,174305304576,0.115631
105,5.50502e+09,174252822528,0.117014
106,5.55745e+09,174200340480,0.117715
107,5.60988e+09,174147858432,0.12055
108,5.66231e+09,174095376384,0.117074
109,5.71474e+09,174042894336,0.115391
110,5.76717e+09,173990412288,0.116198
111,5.8196e+09,173937930240,0.118018
112,5.87203e+09,173885444096,0.117814
113,5.92445e+09,173832962048,0.115122
114,5.97688e+09,173780480000,0.116187
115,6.02931e+09,173727997952,0.117145
116,6.08174e+09,173675515904,0.119085
117,6.13417e+09,173623033856,0.119865
118,6.1866e+09,173570551808,0.117718
119,6.23903e+09,173518069760,0.116501
120,6.29146e+09,173465587712,0.117166
121,6.34388e+09,173413105664,0.116364
122,6.39631e+09,173360623616,0.118814
123,6.44874e+09,173308141568,0.117682
124,6.50117e+09,173255659520,0.120643
125,6.5536e+09,173203177472,0.114873
126,6.60603e+09,173150695424,0.115821
127,6.65846e+09,173098213376,0.116342
128,6.71089e+09,173045731328,0.11879
129,6.76332e+09,172993249280,0.116613
130,6.81574e+09,172940767232,0.119839
131,6.86817e+09,172888285184,0.118322
132,6.9206e+09,172835803136,0.120498
133,6.97303e+09,172783321088,0.12014
134,7.02546e+09,172730839040,0.114689
135,7.07789e+09,172678356992,0.121341
136,7.13032e+09,172625874944,0.11977
137,7.18275e+09,172573392896,0.11673
138,7.23517e+09,172520910848,0.120675
139,7.2876e+09,172468428800,0.124259
140,7.34003e+09,172415946752,0.120352
141,7.39246e+09,172363464704,0.116111
142,7.44489e+09,172310982656,0.115783
143,7.49732e+09,172258500608,0.115268
144,7.54975e+09,172206018560,0.118684
145,7.60218e+09,172153536512,0.121981
146,7.6546e+09,172101054464,0.117379
147,7.70703e+09,172048572416,0.115963
148,7.75946e+09,171996090368,0.11689
149,7.81189e+09,171943608320,0.116749
150,7.86432e+09,171891126272,0.122034
151,7.91675e+09,171838644224,0.11804
152,7.96918e+09,171786162176,0.118149
153,8.02161e+09,171733680128,0.120463
154,8.07404e+09,171681198080,0.120323
155,8.12646e+09,171628716032,0.115601
156,8.17889e+09,171576233984,0.117754
157,8.23132e+09,171523751936,0.117846
158,8.28375e+09,171471269888,0.117625
159,8.33618e+09,171418787840,0.120943
160,8.38861e+09,171366305792,0.120011
161,8.44104e+09,171313823744,0.117529
162,8.49347e+09,171261341696,0.115625
163,8.54589e+09,171208859648,0.116745
164,8.59832e+09,171156377600,0.117348
165,8.65075e+09,171103895552,0.118059
166,8.70318e+09,171051413504,0.120407
167,8.75561e+09,170998931456,0.115318
168,8.80804e+09,170946449408,0.122325
169,8.86047e+09,170893967360,0.116231
170,8.9129e+09,170841485312,0.119853
171,8.96532e+09,170789003264,0.119183
172,9.01775e+09,170736521216,0.12067
173,9.07018e+09,170684039168,0.11912
174,9.12261e+09,170631557120,0.121377
175,9.17504e+09,170579075072,0.120986
176,9.22747e+09,170526593024,0.117551
177,9.2799e+09,170474110976,0.11819
178,9.33233e+09,170421628928,0.121768
179,9.38476e+09,170369146880,0.121108
180,9.43718e+09,170316664832,0.151205
181,9.48961e+09,170264182784,0.119512
182,9.54204e+09,170211700736,0.117332
183,9.59447e+09,170159218688,0.119008
184,9.6469e+09,170106736640,0.118845
185,9.69933e+09,170054254592,0.118413
186,9.75176e+09,170001772544,0.116348
187,9.80419e+09,169949290496,0.118457
188,9.85661e+09,169896808448,0.119523
189,9.90904e+09,169844326400,0.121724
190,9.96147e+09,169791844352,0.119667
191,1.00139e+10,169739362304,0.120543
192,1.00663e+10,169686880256,0.118644
193,1.01188e+10,169634398208,0.117753
194,1.01712e+10,169581916160,0.115293
195,1.02236e+10,169529434112,0.116832
196,1.0276e+10,169476952064,0.119214
197,1.03285e+10,169424470016,0.116657
198,1.03809e+10,169371987968,0.118571
199,1.04333e+10,169319505920,0.11976
200,1.04858e+10,169267023872,0.11892
201,1.04333e+10,169267023872,0.130047
200,1.03809e+10,169267023872,0.134448
199,1.03285e+10,169267023872,0.131649
198,1.0276e+10,169267023872,0.177139
197,1.02236e+10,169267023872,0.126096
196,1.01712e+10,169267023872,0.150981
195,1.01188e+10,169267023872,0.126332
194,1.00663e+10,169267023872,0.169605
193,1.00139e+10,169267023872,0.197857
192,9.96147e+09,169267023872,0.214293
191,9.90904e+09,169267023872,0.212987
190,9.85661e+09,169267023872,0.150051
189,9.80419e+09,169267023872,0.184874
188,9.75176e+09,169267023872,0.204779
187,9.69933e+09,169267023872,0.210755
186,9.6469e+09,169267023872,0.201174
185,9.59447e+09,169267023872,0.165789
184,9.54204e+09,169267023872,0.15454
183,9.48961e+09,169267023872,0.20308
182,9.43718e+09,169267023872,0.195182
181,9.38476e+09,169267019776,0.199929
180,9.33233e+09,169267019776,0.188591
179,9.2799e+09,169267019776,0.154864
178,9.22747e+09,169267019776,0.189387
177,9.17504e+09,169267019776,0.200492
176,9.12261e+09,169267019776,0.193442
175,9.07018e+09,169267019776,0.205502
174,9.01775e+09,169267019776,0.182284
173,8.96532e+09,169267019776,0.218841
172,8.9129e+09,169267019776,0.185569
171,8.86047e+09,169267019776,0.180843
170,8.80804e+09,169267019776,0.174973
