Number,Inserted,Space,Time
1,5.24288e+07,179711639552,0.114122
2,1.04858e+08,179659153408,0.118342
3,1.57286e+08,179606671360,0.117101
4,2.09715e+08,179554189312,0.117634
5,2.62144e+08,179501707264,0.118393
6,3.14573e+08,179449225216,0.117828
7,3.67002e+08,179396743168,0.117612
8,4.1943e+08,179344257024,0.116222
9,4.71859e+08,179291774976,0.1174
10,5.24288e+08,179239292928,0.115692
11,5.76717e+08,179186810880,0.1176
12,6.29146e+08,179134328832,0.11735
13,6.81574e+08,179081846784,0.116959
14,7.34003e+08,179029364736,0.116072
15,7.86432e+08,178976882688,0.120872
16,8.38861e+08,178924400640,0.118923
17,8.9129e+08,178871918592,0.117934
18,9.43718e+08,178819436544,0.118846
19,9.96147e+08,178766954496,0.118306
20,1.04858e+09,178714472448,0.118692
21,1.101e+09,178661990400,0.142707
22,1.15343e+09,178609508352,0.119126
23,1.20586e+09,178557026304,0.118748
24,1.25829e+09,178504544256,0.120415
25,1.31072e+09,178452062208,0.119678
26,1.36315e+09,178399580160,0.116133
27,1.41558e+09,178347098112,0.116605
28,1.46801e+09,178294616064,0.118333
29,1.52044e+09,178242134016,0.118758
30,1.57286e+09,178189651968,0.117732
31,1.62529e+09,178137169920,0.117647
32,1.67772e+09,178084687872,0.117764
33,1.73015e+09,178032205824,0.117825
34,1.78258e+09,177979723776,0.119236
35,1.83501e+09,177927241728,0.115538
36,1.88744e+09,177874759680,0.119891
37,1.93987e+09,177822277632,0.115724
38,1.99229e+09,177769795584,0.119065
39,2.04472e+09,177717313536,0.114648
40,2.09715e+09,177664831488,0.121432
41,2.14958e+09,177612349440,0.118742
42,2.20201e+09,177559867392,0.116618
43,2.25444e+09,177507385344,0.116895
44,2.30687e+09,177454903296,0.115489
45,2.3593e+09,177402421248,0.120769
46,2.41172e+09,177349939200,0.116217
47,2.46415e+09,177297457152,0.121921
48,2.51658e+09,177244975104,0.118126
49,2.56901e+09,177192493056,0.117315
50,2.62144e+09,177140011008,0.115596
51,2.67387e+09,177087528960,0.116306
52,2.7263e+09,177035046912,0.120741
53,2.77873e+09,176982564864,0.115498
54,2.83116e+09,176930082816,0.120517
55,2.88358e+09,176877600768,0.116668
56,2.93601e+09,176825118720,0.115169
57,2.98844e+09,176772636672,0.118904
58,3.04087e+09,176720154624,0.115179
59,3.0933e+09,176667672576,0.115455
60,3.14573e+09,176615190528,0.116048
61,3.19816e+09,176562708480,0.128696
62,3.25059e+09,176510226432,0.115082
63,3.30301e+09,176457744384,0.114751
64,3.35544e+09,176405262336,0.120251
65,3.40787e+09,176352780288,0.116987
66,3.4603e+09,176300298240,0.117436
67,3.51273e+09,176247816192,0.11707
68,3.56516e+09,176195334144,0.117215
69,3.61759e+09,176142852096,0.115959
70,3.67002e+09,176090370048,0.118007
71,3.72244e+09,176037888000,0.118285
72,3.77487e+09,175985405952,0.11476
73,3.8273e+09,175932923904,0.114032
74,3.87973e+09,175880441856,0.115201
75,3.93216e+09,175827959808,0.117496
76,3.98459e+09,175775477760,0.115796
77,4.03702e+09,175722995712,0.116074
78,4.08945e+09,175670513664,0.117461
79,4.14188e+09,175618031616,0.117354
80,4.1943e+09,175565549568,0.115794
81,4.24673e+09,175513067520,0.116079
82,4.29916e+09,175460585472,0.117074
83,4.35159e+09,175408103424,0.115712
84,4.40402e+09,175355621376,0.118023
85,4.45645e+09,175303139328,0.118
86,4.50888e+09,175250657280,0.118701
87,4.56131e+09,175198175232,0.116485
88,4.61373e+09,175145693184,0.116631
89,4.66616e+09,175093211136,0.117216
90,4.71859e+09,175040729088,0.115655
91,4.77102e+09,174988247040,0.114053
92,4.82345e+09,174935764992,0.11638
93,4.87588e+09,174883282944,0.11728
94,4.92831e+09,174830800896,0.117919
95,4.98074e+09,174778318848,0.115789
96,5.03316e+09,174725836800,0.114204
97,5.08559e+09,174673354752,0.11841
98,5.13802e+09,174620872704,0.115181
99,5.19045e+09,174568390656,0.116791
100,5.24288e+09,174515908608,0.116595
101,5.29531e+09,174463426560,0.117008
102,5.34774e+09,174410944512,0.117242
103,5.40017e+09,174358462464,0.115619
104,5.4526e+09,174305980416,0.118486
105,5.50502e+09,174253498368,0.116828
106,5.55745e+09,174201016320,0.118394
107,5.60988e+09,174148534272,0.131455
108,5.66231e+09,174096052224,0.116755
109,5.71474e+09,174043570176,0.117542
110,5.76717e+09,173991088128,0.116043
111,5.8196e+09,173938606080,0.112579
112,5.87203e+09,173886119936,0.119186
113,5.92445e+09,173833637888,0.115681
114,5.97688e+09,173781155840,0.11691
115,6.02931e+09,173728673792,0.118634
116,6.08174e+09,173676191744,0.114479
117,6.13417e+09,173623709696,0.115794
118,6.1866e+09,173571227648,0.115108
119,6.23903e+09,173518745600,0.115
120,6.29146e+09,173466263552,0.114901
121,6.34388e+09,173413781504,0.117543
122,6.39631e+09,173361299456,0.1137
123,6.44874e+09,173308817408,0.115136
124,6.50117e+09,173256335360,0.115701
125,6.5536e+09,173203853312,0.113632
126,6.60603e+09,173151371264,0.116215
127,6.65846e+09,173098889216,0.117324
