Number,Inserted,Space
1,5.24288e+07,44230042
2,1.04858e+08,44217228
3,1.57286e+08,44204415
4,2.09715e+08,44191601
5,2.62144e+08,44178788
6,3.14573e+08,44165975
7,3.67002e+08,44153162
8,4.1943e+08,44140349
9,4.71859e+08,44127536
10,5.24288e+08,44114723
11,5.76717e+08,44101910
12,6.29146e+08,44089097
13,6.81574e+08,44076284
14,7.34003e+08,44063471
15,7.86432e+08,44050658
16,8.38861e+08,44037845
17,8.9129e+08,44025032
18,9.43718e+08,44012219
19,9.96147e+08,43999406
20,1.04858e+09,43986593
21,1.101e+09,43973780
22,1.15343e+09,43960967
23,1.20586e+09,43948154
24,1.25829e+09,43935341
25,1.31072e+09,43922528
26,1.36315e+09,43909715
27,1.41558e+09,43896902
28,1.46801e+09,43884089
29,1.52044e+09,43871276
30,1.57286e+09,43858463
31,1.62529e+09,43845650
32,1.67772e+09,43832837
33,1.73015e+09,43820024
34,1.78258e+09,43807211
35,1.83501e+09,43794398
36,1.88744e+09,43781585
37,1.93987e+09,43768772
38,1.99229e+09,43755959
39,2.04472e+09,43743146
40,2.09715e+09,43730333
41,2.14958e+09,43717520
42,2.20201e+09,43704707
43,2.25444e+09,43691894
44,2.30687e+09,43679081
45,2.3593e+09,43666268
46,2.41172e+09,43653455
47,2.46415e+09,43640642
48,2.51658e+09,43627829
49,2.56901e+09,43615016
50,2.62144e+09,43602203
51,2.67387e+09,43589390
52,2.7263e+09,43576577
53,2.77873e+09,43563764
54,2.83116e+09,43550951
55,2.88358e+09,43538138
56,2.93601e+09,43525325
57,2.98844e+09,43512512
58,3.04087e+09,43499699
59,3.0933e+09,43486886
60,3.14573e+09,43474073
61,3.19816e+09,43461260
62,3.25059e+09,43448447
63,3.30301e+09,43435634
64,3.35544e+09,43422821
65,3.40787e+09,43410008
66,3.4603e+09,43397195
67,3.51273e+09,43384382
68,3.56516e+09,43371569
69,3.61759e+09,43358756
70,3.67002e+09,43345943
71,3.72244e+09,43333130
72,3.77487e+09,43320317
73,3.8273e+09,43307504
74,3.87973e+09,43294691
75,3.93216e+09,43281878
76,3.98459e+09,43269065
77,4.03702e+09,43256252
78,4.08945e+09,43243439
79,4.14188e+09,43230626
80,4.1943e+09,43217813
81,4.24673e+09,43205000
82,4.29916e+09,43192187
83,4.35159e+09,43179374
84,4.40402e+09,43166561
85,4.45645e+09,43153748
86,4.50888e+09,43140935
87,4.56131e+09,43128122
88,4.61373e+09,43115309
89,4.66616e+09,43102496
90,4.71859e+09,43089683
91,4.77102e+09,43076870
92,4.82345e+09,43064057
93,4.87588e+09,43051244
94,4.92831e+09,43038431
95,4.98074e+09,43025618
96,5.03316e+09,43012805
97,5.08559e+09,42999992
98,5.13802e+09,42987179
99,5.19045e+09,42974366
100,5.24288e+09,42961553
101,5.29531e+09,42948740
102,5.34774e+09,42935927
103,5.40017e+09,42923114
104,5.4526e+09,42910301
105,5.50502e+09,42897488
106,5.55745e+09,42884675
107,5.60988e+09,42871862
108,5.66231e+09,42859049
109,5.71474e+09,42846235
110,5.76717e+09,42833422
111,5.8196e+09,42820609
112,5.87203e+09,42807796
113,5.92445e+09,42794983
114,5.97688e+09,42782170
115,6.02931e+09,42769357
116,6.08174e+09,42756544
117,6.13417e+09,42743731
118,6.1866e+09,42730918
119,6.23903e+09,42718105
120,6.29146e+09,42705292
121,6.34388e+09,42692479
122,6.39631e+09,42679666
123,6.44874e+09,42666853
124,6.50117e+09,42654040
125,6.5536e+09,42641227
126,6.60603e+09,42628414
127,6.65846e+09,42615601
128,6.71089e+09,42602788
129,6.76332e+09,42589975
130,6.81574e+09,42577162
131,6.86817e+09,42564349
132,6.9206e+09,42551536
