Files,Before,Size,After
0,44334476,0,44334476
1,44334476,52428800,44321676
2,44334476,104857600,44308876
3,44334476,157286400,44296076
4,44334476,209715200,44283276
5,44334476,262144000,44270476
6,44334476,314572800,44257676
7,44334476,367001600,44244876
8,44334476,419430400,44232076
9,44334476,471859200,44219276
10,44334476,524288000,44206476
11,44334476,576716800,44193676
12,44334476,629145600,44180876
13,44334476,681574400,44168076
14,44334476,734003200,44155276
15,44334476,786432000,44142476
16,44334476,838860800,44129676
17,44334476,891289600,44116876
18,44334476,943718400,44104076
19,44334476,996147200,44091276
20,44334476,1048576000,44078476
21,44334476,1101004800,44065676
22,44334476,1153433600,44052876
23,44334476,1205862400,44040076
24,44334476,1258291200,44027276
25,44334476,1310720000,44014472
26,44334476,1363148800,44001676
27,44334476,1415577600,43988876
28,44334476,1468006400,43976076
29,44334476,1520435200,43963276
30,44334476,1572864000,43950476
31,44334476,1625292800,43937676
32,44334476,1677721600,43924876
33,44334476,1730150400,43912076
34,44334476,1782579200,43899276
35,44334476,1835008000,43886476
36,44334476,1887436800,43873676
37,44334476,1939865600,43860876
38,44334476,1992294400,43848076
39,44334473,2044723200,43835273
40,44334473,2097152000,43822473
41,44334473,2149580800,43809673
42,44334473,2202009600,43796873
43,44334473,2254438400,43784065
44,44334473,2306867200,43771273
45,44334473,2359296000,43758473
46,44334473,2411724800,43745673
47,44334473,2464153600,43732873
48,44334473,2516582400,43720073
49,44334473,2569011200,43707273
50,44334473,2621440000,43694473
51,44334473,2673868800,43681673
52,44334473,2726297600,43668873
53,44334473,2778726400,43656073
54,44334473,2831155200,43643273
55,44334473,2883584000,43630473
56,44334473,2936012800,43617673
57,44334473,2988441600,43604873
58,44334473,3040870400,43592073
59,44334473,3093299200,43579273
60,44334473,3145728000,43566473
61,44334473,3198156800,43553673
62,44334473,3250585600,43540873
63,44334473,3303014400,43528073
64,44334473,3355443200,43515273
65,44334473,3407872000,43502473
66,44334473,3460300800,43489670
67,44334473,3512729600,43476871
68,44334472,3565158400,43464070
69,44334472,3617587200,43451271
70,44334472,3670016000,43438471
71,44334472,3722444800,43425671
72,44334472,3774873600,43412872
73,44334472,3827302400,43400072
74,44334472,3879731200,43387272
75,44334472,3932160000,43374472
76,44334472,3984588800,43361672
77,44334472,4037017600,43348870
78,44334472,4089446400,43336069
79,44334472,4141875200,43323271
80,44334472,4194304000,43310471
81,44334472,4246732800,43297671
82,44334472,4299161600,43284872
83,44334472,4351590400,43272071
84,44334471,4404019200,43259271
85,44334471,4456448000,43246471
86,44334471,4508876800,43233671
87,44334471,4561305600,43220871
88,44334471,4613734400,43208071
89,44334471,4666163200,43195271
90,44334471,4718592000,43182471
91,44334471,4771020800,43169671
92,44334471,4823449600,43156871
93,44334471,4875878400,43144071
94,44334471,4928307200,43131271
95,44334471,4980736000,43118471
96,44334471,5033164800,43105670
97,44334471,5085593600,43092871
98,44334471,5138022400,43080071
99,44334471,5190451200,43067267
100,44334468,5242880000,43054468
101,44334468,5295308800,43041661
102,44334468,5347737600,43028851
103,44334468,5400166400,43016061
104,44334468,5452595200,43003263
105,44334468,5505024000,42990468
106,44334468,5557452800,42977668
107,44334468,5609881600,42964868
108,44334468,5662310400,42952068
109,44334468,5714739200,42939266
110,44334467,5767168000,42926467
111,44334467,5819596800,42913667
112,44334467,5872025600,42900867
113,44334467,5924454400,42888067
114,44334467,5976883200,42875267
115,44334467,6029312000,42862467
116,44334467,6081740800,42849667
117,44332822,6134169600,42836867
118,44334467,6186598400,42824062
119,44334466,6239027200,42811263
120,44334466,6291456000,42798464
121,44334466,6343884800,42785666
122,44334466,6396313600,42772865
123,44334466,6448742400,42760061
124,44334466,6501171200,42747265
125,44334466,6553600000,42734465
126,44334466,6606028800,42721666
127,44334466,6658457600,42708863
128,44334462,6710886400,42696061
129,44334461,6763315200,42683261
130,44334461,6815744000,42670461
131,44334461,6868172800,42657661
132,44334461,6920601600,42644861
133,44334461,6973030400,42632060
134,44334461,7025459200,42619261
135,44334461,7077888000,42606459
136,44334460,7130316800,42593651
137,44334460,7182745600,42580836
138,44334460,7235174400,42568053
139,44334460,7287603200,42555260
140,44334460,7340032000,42542460
141,44334460,7392460800,42529660
142,44334460,7444889600,42516859
143,44334459,7497318400,42504059
144,44334459,7549747200,42491259
145,44334459,7602176000,42478459
146,44334459,7654604800,42465659
147,44334459,7707033600,42452859
148,44334459,7759462400,42440055
149,44334459,7811891200,42427252
150,44334458,7864320000,42414456
151,44334457,7916748800,42401657
152,44334457,7969177600,42388848
153,44334457,8021606400,42376054
154,44334457,8074035200,42363257
155,44334457,8126464000,42350457
156,44334457,8178892800,42337656
157,44334456,8231321600,42324856
158,44334456,8283750400,42312056
159,44334456,8336179200,42299256
160,44334456,8388608000,42286455
161,44334456,8441036800,42273655
162,44334456,8493465600,42260847
163,44334456,8545894400,42248029
164,44334455,8598323200,42235251
165,44334455,8650752000,42222455
166,44334455,8703180800,42209655
167,44334455,8755609600,42196854
168,44334455,8808038400,42184053
169,44334453,8860467200,42171252
170,44334452,8912896000,42158452
171,44334452,8965324800,42145652
172,44334452,9017753600,42132842
173,44334452,9070182400,42120035
174,44334439,9122611200,42107238
175,44334438,9175040000,42094428
176,44334438,9227468800,42081635
177,44334438,9279897600,42068837
178,44334438,9332326400,42056038
179,44334438,9384755200,42043238
180,44334438,9437184000,42030438
181,44334438,9489612800,42017637
182,44334437,9542041600,42004835
183,44334437,9594470400,41992035
184,44334437,9646899200,41979212
185,44334437,9699328000,41966422
186,44334435,9751756800,41953634
187,44334434,9804185600,41940834
188,44334434,9856614400,41928033
189,44334434,9909043200,41915234
190,44334434,9961472000,41902433
191,44334434,10013900800,41889633
192,44334433,10066329600,41876829
193,44334433,10118758400,41864026
194,44334433,10171187200,41851233
195,44334433,10223616000,41838424
196,44334433,10276044800,41825629
197,44334432,10328473600,41812831
198,44334432,10380902400,41800032
199,44334432,10433331200,41787232
